Yellow Magic Orchestra,Solid State Survivor,"['Haruomi Hosono', 'Heiquiti Harata', 'Yellow Magic Orchestra', 'Yukihiro Takahashi', 'Mitsuo Koike', 'Norio Yoshizawa', 'Kunihiko Murai', 'Shoro Kawazoe', 'Ryuichi Sakamoto', 'Chris Mosdell', 'Akira Ikuta', 'Masako Hikasa', 'Masayoshi Sukita', 'Hideki Matsutake', 'Lou Beach']"
Chiemi Manabe,不思議・少女,"['Nobuyuki Shimizu', 'Kenji Takamizu', 'Epo (2)', 'Kazuhiko Kato', 'Taeko Ohnuki', 'Shuichi Murakami', 'Tatsuo Hayashi', 'Kenji Omura', 'Hideki Matsutake', 'Haruomi Hosono']"
Tatsuro Yamashita,Spacy,"['Sound City Studio', 'RCA Studio, Shibuya, Tokyo', 'Onkio Haus', 'Tohru Okada', 'Chuei Yoshikawa', 'Tatsuro Yamashita', 'Kenkichi Sato', 'Minako Yoshida', 'Tatsuro Yamashita', 'Akihiro Tanaka', 'Haruomi Hosono', 'Tatsuro Yamashita', 'Kozo Araki', 'Schuici Murakami', 'Yukari Uehara', 'Shozo Nakagawa', 'Kenji Omura', 'Tatsuro Yamashita', 'Tsunehide Matsuki', 'Tatsuro Yamashita', 'Hiroshi Sato', 'Ryuichi Sakamoto', 'Tatsuro Yamashita', 'Minako Yoshida', 'Tatsuro Yamashita', 'Toru Koetsu', 'Nov Saito', 'Tatsuro Yamashita', 'Tatsuro Yamashita', 'Tamotu Yoshida', 'Shunzo Sunahara', 'Takeru Muraoka', 'Tomoa Okazaki', 'Tatsuro Yamashita', 'Hiroshi Yoshizawa', 'Tadaaki Ono', 'Shigeharu Mukai', 'Tadanori Konakawa', 'Kenji Nakazawa', 'Koji Hatori', 'Shin Kazuhara', 'Ryuichi Sakamoto']"
Portable Rock,Beginnings,"['Nobuo Nakahara', 'Keiichi Suzuki', 'Osamu Takahashi', 'Hiroshi Kanazu', 'Saeko Suzuki', 'Hirobumi Suzuki', 'Tomofumi Suzuki', 'Hiroshi Haraguchi', 'Toshihiko Imai', 'Portable Rock', 'Kaori Motomiya', 'Maki Nomiya']"
Haruomi Hosono,Naga (Music For Monsoon),"['Haruomi Hosono', 'Un-Ryu', 'Shinji M.', 'Haruomi Hosono', 'Miharu Koshi', 'Un-Ryu']"
Haruomi Hosono,Good Sport,"['Medium, Inc.', 'Medium, Inc.', 'Medium, Inc.', 'Consipio Studio', 'Quiet Lodge', 'Onkio Haus', 'Sanyo Mavic-Media Co., Ltd.', 'コシミハル', '細野晴臣', '木本靖夫', '藤井陽一郎', '小泉由香', '細野晴臣', '田中信一', '中谷英巳', '原口宏']"
Haruomi Hosono,N . D . E,"['Haruomi Hosono']"
Taeko Ohnuki,MIDI Singles 1985,"['Epo (2)', 'Ryuichi Sakamoto']"
鈴木博文,三文楽士,"[]"
Various,Todd / A True Star,"['Pony Canyon Inc.']"
石黒ケイ,女は女,"['Hiromasa Suzuki', 'Makoto Yano', 'Akira Okazawa', 'Syoji Sakamoto', 'Shunzo Sunahara', 'Kunimitsu Inaba', 'Kiyomichi Kimura', 'Seiji Tanaka', 'Yuichi Togashiki', 'Getao Takahashi', 'Ken Yajima', 'Masaki Matsubara', 'Tsunehide Matsuki', 'Jun Noda', 'Ryuichi Sakamoto', 'Eiji Narushima', 'Larry Sunaga', 'Motoya Hamaguchi', 'Shigemitsu Katayama', 'Takashi Abo', 'Takeru Muraoka', 'Tomato Group', 'Hideharu Arai', 'Susumu Kazuhara', 'Yoshikazu Kishi']"
